kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60
1530;1803-1900;Th;ROU;Radio Constanta;TT;ROU;;2;;
1530;1803-1900;Tu;ROU;Radio Constanta;TU;ROU;;2;;
1530;0300-0430;;USA;Voice of America;E;Af;/STP;1;;
1530;0500-0530;;USA;Voice of America;HA;Af;/STP;1;;
1530;0530-0600;Mo-Fr;USA;Voice of America;F;Af;/STP;1;;
1530;0600-0700;;USA;Voice of America;E;Af;/STP;1;;
1530;1600-1700;;USA;Voice of America;E;Af;/STP;1;;
1530;1700-1800;;USA;Voice of America;P;Af;/STP;1;;
1530;1830-1900;;USA;Voice of America;F;Af;/STP;1;;
1530;1900-1930;;USA;Voice of America;F;Af;/STP;1;;
1530;1930-2000;;USA;Voice of America;F;Af;/STP;1;;
1530;2000-2200;;USA;Voice of America;E;Af;/STP;1;;
1539;1400-0200;;USA;Voice of America;UR;SAs;/UAE;1;;
1548;0000-0015;Fr-Su;IND;Athmeeyayathra (GFA);KAN;SAs;/CLN-t;1;;
1548;0000-0015;Tu;IND;Athmeeyayathra (GFA);KON;SAs;/CLN-t;1;;
1548;0000-0015;We;IND;Athmeeyayathra (GFA);NTK;SAs;/CLN-t;1;;
1548;0000-0015;Mo;IND;Athmeeyayathra (GFA);TUL;SAs;/CLN-t;1;;
1548;0000-0015;Th;IND;Athmeeyayathra (GFA);YER;SAs;/CLN-t;1;;
1548;0015-0030;Mo;IND;Athmeeyayathra (GFA);BNJ;SAs;/CLN-t;1;;
1548;0015-0030;We;IND;Athmeeyayathra (GFA);GON;SAs;/CLN-t;1;;
1548;0015-0030;Tu;IND;Athmeeyayathra (GFA);KOY;SAs;/CLN-t;1;;
1548;0015-0030;Th;IND;Athmeeyayathra (GFA);KUP;SAs;/CLN-t;1;;
1548;0015-0030;Fr-Su;IND;Athmeeyayathra (GFA);TEL;SAs;/CLN-t;1;;
1548;0030-0045;;IND;Athmeeyayathra (GFA);MAL;SAs;/CLN-t;1;;
1548;1330-1345;Mo-Tu;IND;Athmeeyayathra (GFA);MAR;SAs;/CLN-t;1;;
1548;1330-1345;We-Su;IND;Athmeeyayathra (GFA);TAM;SAs;/CLN-t;1;;
1548;1345-1400;Su;IND;Athmeeyayathra (GFA);CD;SAs;/CLN-t;1;;
1548;1345-1400;Mo-Tu;IND;Athmeeyayathra (GFA);CHG;SAs;/CLN-t;1;;
1548;1345-1400;We-Th;IND;Athmeeyayathra (GFA);GU;SAs;/CLN-t;1;;
1548;1345-1400;Fr-Sa;IND;Athmeeyayathra (GFA);OR;SAs;/CLN-t;1;;
1548;1400-1415;Th;IND;Athmeeyayathra (GFA);GM;SAs;/CLN-t;1;;
1548;1400-1415;SaSu;IND;Athmeeyayathra (GFA);KUI;SAs;/CLN-t;1;;
1548;1400-1415;Fr;IND;Athmeeyayathra (GFA);SMP;SAs;/CLN-t;1;;
1548;1400-1415;Mo-Tu;IND;Athmeeyayathra (GFA);SNT;SAs;/CLN-t;1;;
1548;1400-1415;We;IND;Athmeeyayathra (GFA);VAR;SAs;/CLN-t;1;;
1548;1415-1430;Fr-Sa;IND;Athmeeyayathra (GFA);BJ;SAs;/CLN-t;1;;
1548;1415-1430;Su;IND;Athmeeyayathra (GFA);CKM;SAs;/CLN-t;1;;
1548;1415-1430;We;IND;Athmeeyayathra (GFA);KHR;SAs;/CLN-t;1;;
1548;1415-1430;Mo;IND;Athmeeyayathra (GFA);KHT;SAs;/CLN-t;1;;
1548;1415-1430;Th;IND;Athmeeyayathra (GFA);KTW;SAs;/CLN-t;1;;
1548;1415-1430;Tu;IND;Athmeeyayathra (GFA);MLT;SAs;/CLN-t;1;;
1548;1430-1445;Su;IND;Athmeeyayathra (GFA);C-F;SAs;/CLN-t;1;;
1548;1430-1445;Th;IND;Athmeeyayathra (GFA);KKN;SAs;/CLN-t;1;;
1548;1430-1445;Mo-Tu;IND;Athmeeyayathra (GFA);KUR;SAs;/CLN-t;1;;
1548;1430-1445;Fr-Sa;IND;Athmeeyayathra (GFA);MAG;SAs;/CLN-t;1;;
1548;1430-1445;We;IND;Athmeeyayathra (GFA);MUN;SAs;/CLN-t;1;;
1548;1445-1500;SaSu;IND;Athmeeyayathra (GFA);HI;SAs;/CLN-t;1;;
1548;1445-1500;We;IND;Athmeeyayathra (GFA);HO;SAs;/CLN-t;1;;
1548;1445-1500;Mo-Tu;IND;Athmeeyayathra (GFA);NG;SAs;/CLN-t;1;;
1548;1445-1500;Fr;IND;Athmeeyayathra (GFA);SRA;SAs;/CLN-t;1;;
1548;1445-1500;Th;IND;Athmeeyayathra (GFA);VV;SAs;/CLN-t;1;;
1548;1500-1515;;IND;Athmeeyayathra (GFA);HI;SAs;/CLN-t;1;;
1548;1515-1530;Mo-Fr;IND;Athmeeyayathra (GFA);BE;SAs;/CLN-t;1;;
1548;1515-1530;SaSu;IND;Athmeeyayathra (GFA);UR;SAs;/CLN-t;1;;
1548;2345-2400;Sa;IND;Athmeeyayathra (GFA);BR;SEA;/CLN-t;1;;
1548;2345-2400;Fr;IND;Athmeeyayathra (GFA);CH;SEA;/CLN-t;1;;
1548;2345-2400;Tu;IND;Athmeeyayathra (GFA);CKM;SAs;/CLN-t;1;;
1548;2345-2400;We-Th;IND;Athmeeyayathra (GFA);KBO;SAs;/CLN-t;1;;
1548;2345-2400;Su-Mo;IND;Athmeeyayathra (GFA);SI;SAs;/CLN-t;1;;
1548;0000-2400;;USA;Radio Sawa;A;ME;/KWT;1;;
1548;1800-1830;;USA;Trans World Radio;BU;Eu;/MDA;1;;
1548;1830-1845;;USA;Trans World Radio;BLK;Eu;/MDA;1;;
1548;1845-1915;SaSu;USA;Trans World Radio;RO;Eu;/MDA;1;;
1548;1845-1915;Mo-Fr;USA;Trans World Radio;VX;Eu;/MDA;1;;
1548;1915-1930;Sa;USA;Trans World Radio;MNE;Eu;/MDA;1;;
1548;1915-2000;Su;USA;Trans World Radio;BOS;Eu;/MDA;1;;
1548;1915-2000;Mo-Fr;USA;Trans World Radio;SR;Eu;/MDA;1;;
1548;1930-2000;Sa;USA;Trans World Radio;SR;Eu;/MDA;1;;
1548;2000-2025;;USA;Trans World Radio;HU;Eu;/MDA;1;;
1548;2025-2045;Mo-Fr;USA;Trans World Radio;HU;Eu;/MDA;1;;
1550;0700-1200;;CLA;Nat.R. of Saharan ADR;A;NAf;/ALG-t;1;;[1113]
1550;1200-1300;;CLA;Nat.R. of Saharan ADR;A;NAf;/ALG-t;1;;[1115]
1550;1700-1800;;CLA;Nat.R. of Saharan ADR;A;NAf;/ALG-t;1;;[1015]
1550;1830-2305;;CLA;Nat.R. of Saharan ADR;A;NAf;/ALG-t;1;;[0917]
1557;0900-1700;;TWN;Radio Taiwan Int.;M;FE;k;1;;
1566;1100-1230;;CHN;Chinese Jammer;M;FE;ya;1;;
1566;1345-1600;;CHN;Chinese Jammer;M;FE;ya;1;;
1566;1830-1900;;CHN;Chinese Jammer;M;FE;ya;1;;
1566;1512-1530;;IND;AIR Delhi;HI;SAs;n;1;;
1566;1530-1545;;IND;AIR Delhi;E;SAs;n;1;;
1566;1320-0043;;IND;AIR National Channel;HI;SAs;n;1;;
1566;1430-1435;;IND;AIR National Channel;E;SAs;n;1;;
1566;1435-1500;135;IND;AIR National Channel;E;SAs;n;1;;
1566;2135-2140;;IND;AIR National Channel;E;SAs;n;1;;
1566;1100-1230;;PHL;FEBC Manila;M;CHN;/KOR-j;1;;
1566;1230-1345;;PHL;FEBC Manila;J;J;/KOR-j;1;;[0817]
1566;1345-1600;;PHL;FEBC Manila;M;CHN;/KOR-j;1;;
1566;1600-1830;;PHL;FEBC Manila;K;FE;/KOR-j;1;;
1566;1830-1900;;PHL;FEBC Manila;M;CHN;/KOR-j;1;;
1566;1900-1100;;PHL;FEBC Manila;K;FE;/KOR-j;1;;
1566;0325-0330;Mo-Fr;SWZ;Trans World Radio;E;WAf;/BEN-p;1;;
1566;0330-0345;Mo-Fr;SWZ;Trans World Radio;HA;WAf;/BEN-p;1;;
1566;0340-0345;SaSu;SWZ;Trans World Radio;E;WAf;/BEN-p;1;;
1566;0345-0430;;SWZ;Trans World Radio;HA;WAf;/BEN-p;1;;
1566;0430-0500;SaSu;SWZ;Trans World Radio;E;WAf;/BEN-p;1;;
1566;0430-0500;Mo-Fr;SWZ;Trans World Radio;IG;WAf;/BEN-p;1;;
1566;0500-0515;;SWZ;Trans World Radio;TWI;WAf;/BEN-p;1;;
1566;0515-0530;SaSu;SWZ;Trans World Radio;EWE;WAf;/BEN-p;1;;
1566;0515-0530;Mo-Fr;SWZ;Trans World Radio;TWI;WAf;/BEN-p;1;;
1566;0530-0545;Mo-Fr;SWZ;Trans World Radio;E;WAf;/BEN-p;1;;
1566;1730-1745;;SWZ;Trans World Radio;FON;WAf;/BEN-p;1;;
1566;1745-1825;;SWZ;Trans World Radio;E;WAf;/BEN-p;1;;
1566;1825-1855;;SWZ;Trans World Radio;YO;WAf;/BEN-p;1;;
1566;1855-1910;Fr-Sa;SWZ;Trans World Radio;FU;WAf;/BEN-p;1;;
1566;1855-1910;Tu-Th;SWZ;Trans World Radio;HA;WAf;/BEN-p;1;;
1566;1855-1910;Mo;SWZ;Trans World Radio;KNU;WAf;/BEN-p;1;;
1566;1855-1910;Su;SWZ;Trans World Radio;YO;WAf;/BEN-p;1;;
1566;1910-1925;SaSu;SWZ;Trans World Radio;FU;WAf;/BEN-p;1;;
1566;1910-1925;Mo-Fr;SWZ;Trans World Radio;KNU;WAf;/BEN-p;1;;
1566;1925-1940;Sa;SWZ;Trans World Radio;DIT;WAf;/BEN-p;1;;
1566;1925-1940;Mo-Fr;SWZ;Trans World Radio;KOT;WAf;/BEN-p;1;;
1566;1925-1940;Su;SWZ;Trans World Radio;LOK;WAf;/BEN-p;1;;
1566;1940-2010;Mo-Fr;SWZ;Trans World Radio;FON;WAf;/BEN-p;1;;
1566;1940-2010;SaSu;SWZ;Trans World Radio;FU;WAf;/BEN-p;1;;
1566;2010-2025;Tu,Th;SWZ;Trans World Radio;BRB;WAf;/BEN-p;1;;
1566;2010-2025;Su-Mo;SWZ;Trans World Radio;DEN;WAf;/BEN-p;1;;
1566;2010-2025;We;SWZ;Trans World Radio;FON;WAf;/BEN-p;1;;
1566;2010-2025;Fr;SWZ;Trans World Radio;IF;WAf;/BEN-p;1;;
1566;2010-2025;Sa;SWZ;Trans World Radio;SON;WAf;/BEN-p;1;;
1566;2025-2040;Fr;SWZ;Trans World Radio;BM;WAf;/BEN-p;1;;
1566;2025-2040;Mo;SWZ;Trans World Radio;F;WAf;/BEN-p;1;;
1566;2025-2040;Su;SWZ;Trans World Radio;FON;WAf;/BEN-p;1;;
1566;2025-2040;We;SWZ;Trans World Radio;IG;WAf;/BEN-p;1;;
1566;2025-2040;Th;SWZ;Trans World Radio;DY;WAf;/BEN-p;1;;
1566;2025-2040;Sa;SWZ;Trans World Radio;KOT;WAf;/BEN-p;1;;
1566;2025-2040;Tu;SWZ;Trans World Radio;MOO;WAf;/BEN-p;1;;
1566;2040-2045;Sa;SWZ;Trans World Radio;MNA;WAf;/BEN-p;1;;
1566;2040-2045;Su-Fr;SWZ;Trans World Radio;F;WAf;/BEN-p;1;;
1566;2045-2100;Su;SWZ;Trans World Radio;BM;WAf;/BEN-p;1;;
1566;2045-2100;Mo-Sa;SWZ;Trans World Radio;F;WAf;/BEN-p;1;;
1566;2100-2130;Sa;SWZ;Trans World Radio;TMJ;WAf;/BEN-p;1;;
1566;2100-2200;Su;SWZ;Trans World Radio;BM;WAf;/BEN-p;1;;
1566;2100-2130;Mo-Fr;SWZ;Trans World Radio;F;WAf;/BEN-p;1;;
1566;2130-2145;Mo;SWZ;Trans World Radio;BAO;WAf;/BEN-p;1;;
1566;2130-2145;Tu-Fr;SWZ;Trans World Radio;F;WAf;/BEN-p;1;;
1566;2145-2200;Mo-Sa;SWZ;Trans World Radio;F;WAf;/BEN-p;1;;
1566;2200-2215;;SWZ;Trans World Radio;F;WAf;/BEN-p;1;;
1575;0000-2400;;USA;Radio Farda;FS;ME;/UAE;1;;
1575;0000-0030;;USA;Voice of America;BR;SEA;/THA-b;1;;
1575;0030-0100;;USA;Voice of America;E;SEA;/THA-b;1;;
1575;1100-1200;SaSu;USA;Voice of America;E;SEA;/THA-b;1;;
1575;1230-1300;;USA;Voice of America;LAO;SEA;/THA-b;1;;
1575;1300-1330;;USA;Voice of America;VN;SEA;/THA-b;1;;
1575;1330-1430;;USA;Voice of America;KH;SEA;/THA-b;1;;
1575;1430-1500;;USA;Voice of America;BR;SEA;/THA-b;1;;
1575;1500-1530;SaSu;USA;Voice of America;BR;SEA;/THA-b;1;;
1575;1530-1600;;USA;Voice of America;BR;SEA;/THA-b;1;;
1575;1600-1700;;USA;Voice of America;BE;SEA;/THA-b;1;;
1575;2200-2230;;USA;Voice of America;KH;SEA;/THA-b;1;;
1575;2230-2400;Fr-Sa;USA;Voice of America;E;SEA;/THA-b;1;;
1584;0900-1000;15Apr;HOL;Radio Nederland;E;HOL;;6;1104;1504
1584;1000-1200;15Apr;HOL;Radio Nederland;E;HOL;;6;1104;1504
1584;1200-1300;15Apr;HOL;Radio Nederland;E;HOL;;6;1104;1504
1584;1300-1400;15Apr;HOL;Radio Nederland;E;HOL;;6;1104;1504
1584;1400-1500;15Apr;HOL;Radio Nederland;E;HOL;;6;1104;1504
1584;1500-1600;15Apr;HOL;Radio Nederland;E;HOL;;6;1104;1504
1584;1700-1830;We;I;Radio IBC;I;Eu;;2;;
1584;1830-1900;We;I;Radio IBC;E;Eu;;2;;
1584;2000-2030;Sa;I;Radio IBC;E;Eu;;2;;
1593;0000-2400;;I;Gold 15-93;I;SEu;;1;;
1593;0305-0320;Sa;ROU;Radio Cluj;UK;UKR;;2;;
1593;0720-0730;Su;ROU;Radio Bukarest;D;ROU;;2;;
1593;1100-1200;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
1593;0730-0800;Su;ROU;Radio Neumarkt;D;ROU;;2;;
1593;1800-1900;Mo-Sa;ROU;Radio Neumarkt;D;ROU;;2;;
1610;1000-2200;;USA;Dr.Gene Scott;E;Car;/AIA;6;2603;709
1610;2200-1000;;USA;Dr.Gene Scott;E;Car;/AIA;6;2603;0709[0817]
1611;0000-2400;;I;Gold 15-93;I;SEu;;1;;
1611;0330-2205;;NOR;Radio Northern Star;NO;NEu;be;2;;
1620;0000-2400;;CUB;Radio Rebelde;S;Car;;1;;[0817]
1635;1203-1218;;NOR;Telenor Maritim Radio;;NEu;hf;1;;
1635;2303-2318;;NOR;Telenor Maritim Radio;;NEu;hf;1;;
1641;0020-0040;;FRO;OXJ Torshavn Radio;E;NEu;t;1;;
1641;0520-0540;;FRO;OXJ Torshavn Radio;E;NEu;t;1;;
1644;0703-0718;;CNR;Las Palmas Radio;S;SEu;ar;1;;
1644;1233-1248;;CNR;Las Palmas Radio;S;SEu;ar;1;;
1644;1903-1918;;CNR;Las Palmas Radio;S;SEu;ar;1;;
1650;0433-0443;;EST;Tallinn Radio;E;NEu;ta;2;;
1650;1333-1343;;EST;Tallinn Radio;E;NEu;ta;2;;
1650;0000-0015;;F;CROSS Corsen Radio Wx;F;WEu;co;4;;
1650;0500-0515;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
1650;0535-0545;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
1650;0615-0630;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
1650;1735-1745;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
1650;1815-1830;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
1650;1900-1915;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;[0116]
1650;2300-2315;;F;CROSS Corsen Radio Wx;F;WEu;co;5;;
1650;0450-0505;;F;CROSS Gris-Nez Radio Wx;F;WEu;gn;2;;
1650;1655-1705;;F;CROSS Gris-Nez Radio Wx;F;WEu;gn;2;;
1650;0715-0725;;F;CROSS Jobourg Radio Wx;F;WEu;jb;2;;
1650;1915-1925;;F;CROSS Jobourg Radio Wx;F;WEu;jb;2;;
1656;0733-0748;;E;EAC Chipiona Radio;S;SEu;cp;1;;
1656;1233-1248;;E;EAC Chipiona Radio;S;SEu;cp;1;;
1656;1933-1948;;E;EAC Chipiona Radio;S;SEu;cp;1;;
1659;0623-0638;;NOR;Telenor Maritim Radio;;NEu;at;1;;
1659;1203-1218;;NOR;Telenor Maritim Radio;;NEu;at;1;;
1659;2303-2318;;NOR;Telenor Maritim Radio;;NEu;at;1;;
1665;0233-0248;;NOR;Telenor Maritim Radio;;NEu;tj;1;;
1665;0633-0648;;NOR;Telenor Maritim Radio;;NEu;tj;1;;
1665;1033-1048;;NOR;Telenor Maritim Radio;;NEu;tj;1;;
1665;1433-1448;;NOR;Telenor Maritim Radio;;NEu;tj;1;;
1665;1833-1848;;NOR;Telenor Maritim Radio;;NEu;tj;1;;
1665;2233-2248;;NOR;Telenor Maritim Radio;;NEu;tj;1;;
1671;0750-0930;;F;Radio Vacation Peche;F;WEu;sg;2;;
1674;0200-0215;;S;Stockholm Radio;E;NEu;st;1;;
1674;1550-1607;;S;Stockholm Radio;E;NEu;st;1;;
1674;2220-2237;;S;Stockholm Radio;E;NEu;st;1;;
1677;0703-0718;;E;Coruna Radio;S;SEu;rs;1;;
1677;1303-1318;;E;Coruna Radio;S;SEu;rs;1;;
1677;1903-1918;;E;Coruna Radio;S;SEu;rs;1;;
1677;2003-2008;;E;Coruna Radio;S;SEu;rs;1;;
1677;2030-2040;;E;Coruna Radio;S;SEu;rs;1;;[0216]
1677;2300-2310;;E;Coruna Radio;S;SEu;rs;1;;[1116]
1677;0033-0048;;IRL;Malin Head Wx;E;WEu;mh;1;;
1677;0433-0448;;IRL;Malin Head Wx;E;WEu;mh;1;;
1677;0833-0848;;IRL;Malin Head Wx;E;WEu;mh;1;;
1677;1233-1248;;IRL;Malin Head Wx;E;WEu;mh;1;;
1677;1633-1648;;IRL;Malin Head Wx;E;WEu;mh;1;;
1677;2033-2048;;IRL;Malin Head Wx;E;WEu;mh;1;;
1680;1215-1230;;NOR;Telenor Maritim Radio;;NEu;f;1;;
1680;2315-2330;;NOR;Telenor Maritim Radio;;NEu;f;1;;
1689;0803-0818;;CNR;Las Palmas Radio;S;SEu;lm;1;;
1689;1233-1248;;CNR;Las Palmas Radio;S;SEu;lm;1;;
1689;1903-1918;;CNR;Las Palmas Radio;S;SEu;lm;1;;
1692;1215-1230;;NOR;Telenor Maritim Radio;;NEu;ro;1;;
1692;2315-2330;;NOR;Telenor Maritim Radio;;NEu;ro;1;;[0416]
1695;1203-1218;;NOR;Telenor Maritim Radio;;NEu;bv;1;;
1695;2303-2318;;NOR;Telenor Maritim Radio;;NEu;bv;1;;
1696;0003-0018;;F;CROSS La Garde Radio Wx;F,E;WEu;g;4;;
1696;0303-0318;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
1696;0633-0643;;F;CROSS La Garde Radio Wx;F,E;WEu;g;5;;
1696;0703-0718;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
1696;0733-0743;;F;CROSS La Garde Radio Wx;F,E;WEu;g;4;;
1696;1103-1118;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
1696;1233-1248;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
1696;1403-1418;;F;CROSS La Garde Radio Wx;F,E;WEu;g;5;;
1696;1503-1518;;F;CROSS La Garde Radio Wx;F,E;WEu;g;1;;
1696;1603-1618;;F;CROSS La Garde Radio Wx;F,E;WEu;g;4;;
1696;1650-1715;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
1696;1903-1913;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
1696;2303-2318;;F;CROSS La Garde Radio Wx;F,E;WEu;g;5;;
1698;0703-0718;;E;Coruna Radio;S;SEu;c;1;;
1698;1303-1318;;E;Coruna Radio;S;SEu;c;1;;
1698;1903-1918;;E;Coruna Radio;S;SEu;c;1;;
1704;0533-0553;;DNK;Lyngby Radio;E;NEu;sk;1;;
1704;1743-1803;;DNK;Lyngby Radio;E;NEu;sk;1;;
1704;2133-2153;;DNK;Lyngby Radio;E;NEu;sk;1;;[0515]
1704;0733-0748;;E;Tarifa Radio;S;SEu;ta;1;;
1704;1233-1248;;E;Tarifa Radio;S;SEu;ta;1;;
1704;1933-1948;;E;Tarifa Radio;S;SEu;ta;1;;
1707;0703-0718;;E;Bilbao Radio;S;SEu;ar;1;;
1707;1303-1318;;E;Bilbao Radio;S;SEu;ar;1;;
1707;1903-1918;;E;Bilbao Radio;S;SEu;ar;1;;
1710;1203-1218;;NOR;Telenor Maritim Radio;;NEu;sa;1;;
1710;2303-2318;;NOR;Telenor Maritim Radio;;NEu;sa;1;;
1710;0800-0815;;S;Stockholm Radio;E;NEu;gr;1;;
1710;1600-1615;;S;Stockholm Radio;E;NEu;gr;1;;
1713;0550-0610;;ISL;Iceland Coast Guard;IS;NAO;v;1;;
1713;0800-0815;;ISL;Iceland Coast Guard;IS;NAO;v;1;;
1713;1750-1810;;ISL;Iceland Coast Guard;IS;NAO;v;1;;
1713;2000-2015;;ISL;Iceland Coast Guard;IS;NAO;v;1;;
1713;0803-0818;;NOR;Telenor Maritim Radio;;NEu;va;1;;
1713;1203-1218;;NOR;Telenor Maritim Radio;;NEu;va;1;;
1713;2303-2318;;NOR;Telenor Maritim Radio;;NEu;va;1;;
1720.4;0850-0900;;MNE;4OB Bar Radio;E;SEE;oc;1;;
1720.4;1420-1430;;MNE;4OB Bar Radio;E;SEE;oc;1;;
1720.4;2050-2100;;MNE;4OB Bar Radio;E;SEE;oc;1;;
1726;0333-0348;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1726;0503-0518;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1726;0533-0548;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1726;0733-0748;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1726;1133-1148;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1726;1533-1548;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1726;1703-1718;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1726;1733-1748;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1726;1933-1948;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1726;2333-2348;;ARS;HZH Jiddah Radio;E;ME;jr;1;;
1728;1215-1230;;NOR;Telenor Maritim Radio;;NEu;ma;1;;
1728;2315-2330;;NOR;Telenor Maritim Radio;;NEu;ma;1;;
1731;1203-1218;;NOR;Telenor Maritim Radio;;NEu;ly;1;;
1731;2303-2318;;NOR;Telenor Maritim Radio;;NEu;ly;1;;
1734;1743-1803;;DNK;Lyngby Radio;E;NEu;bl;1;;
1734;2133-2153;;DNK;Lyngby Radio;E;NEu;bl;1;;[0515]
1743;0010-0030;irr;G;Stornoway Coastguard Wx;E;WEu;st;2;;
1743;0610-0625;;G;Stornoway Coastguard Wx;E;WEu;st;2;;
1743;1210-1230;irr;G;Stornoway Coastguard Wx;E;WEu;st;2;;
1743;1810-1825;;G;Stornoway Coastguard Wx;E;WEu;st;2;;
1743;0000-0015;;MRC;Safi Radio;;MRC;s;1;;
1743;0915-0930;;MRC;Safi Radio;;MRC;s;1;;
1743;1635-1650;;MRC;Safi Radio;;MRC;s;1;;
1743;1203-1218;;NOR;Telenor Maritim Radio;;NEu;jm;1;;
1743;2303-2318;;NOR;Telenor Maritim Radio;;NEu;jm;1;;
1743;0405-0420;;TUN;3VW La Goulette Radio;F;TUN;gu;1;;
1743;1905-1920;;TUN;3VW La Goulette Radio;F;TUN;gu;1;;
1752;0233-0248;;IRL;Valentia Radio Wx;E;WEu;v;1;;
1752;0633-0648;;IRL;Valentia Radio Wx;E;WEu;v;1;;
1752;1033-1048;;IRL;Valentia Radio Wx;E;WEu;v;1;;
1752;1433-1448;;IRL;Valentia Radio Wx;E;WEu;v;1;;
1752;1833-1848;;IRL;Valentia Radio Wx;E;WEu;v;1;;
1752;2233-2248;;IRL;Valentia Radio Wx;E;WEu;v;1;;
1755;0750-0805;;E;EAO Palma Radio;S;SEu;pm;1;;
1755;1303-1318;;E;EAO Palma Radio;S;SEu;pm;1;;
1755;1940-2005;;E;EAO Palma Radio;S;SEu;pm;1;;
1758;0600-0615;;DNK;Lyngby Radio;E;NEu;sg;1;;
1758;1743-1803;;DNK;Lyngby Radio;E;NEu;sg;1;;
1761;0550-0610;;ISL;Iceland Coast Guard;IS;NAO;n;1;;
1761;1750-1810;;ISL;Iceland Coast Guard;IS;NAO;n;1;;
1764;0703-0718;;E;Coruna Radio;S;SEu;fi;1;;
1764;1303-1318;;E;Coruna Radio;S;SEu;fi;1;;
1764;1903-1918;;E;Coruna Radio;S;SEu;fi;1;;
1767;0750-0805;;E;Valencia Radio;S;SEu;cg;1;;
1767;1303-1318;;E;Valencia Radio;S;SEu;cg;1;;
1767;1950-2005;;E;Valencia Radio;S;SEu;cg;1;;
1770;0010-0025;irr;G;Shetland Coastguard Wx;E;WEu;cf;2;;
1770;0610-0625;;G;Shetland Coastguard Wx;E;WEu;cf;2;;
1770;1210-1225;irr;G;Shetland Coastguard Wx;E;WEu;cf;2;;
1770;1810-1825;;G;Shetland Coastguard Wx;E;WEu;cf;2;;[0116]
1779;0733-0748;;S;Stockholm Radio;E;NEu;b;1;;
1779;1533-1548;;S;Stockholm Radio;E;NEu;b;1;;
1782;1215-1230;;NOR;Telenor Maritim Radio;;NEu;or;1;;
1782;1830-1845;;NOR;Telenor Maritim Radio;;NEu;or;1;;
1782;2315-2330;;NOR;Telenor Maritim Radio;;NEu;or;1;;
1785;1215-1230;;NOR;Telenor Maritim Radio;;NEu;fs;1;;
1785;1830-1845;;NOR;Telenor Maritim Radio;;NEu;fs;1;;
1785;2315-2330;;NOR;Telenor Maritim Radio;;NEu;fs;1;;
1792;0903-0913;;ALG;7TA Alger Radio;F,E;NAf;al;1;;
1792;1703-1713;;ALG;7TA Alger Radio;F,E;NAf;al;1;;
1797;0800-0815;;S;Stockholm Radio;E;NEu;gs;1;;
1797;1600-1615;;S;Stockholm Radio;E;NEu;gs;1;;
1797;1800-1815;;S;Stockholm Radio;E;NEu;gs;1;;[0417]
1852;0000-2400;;I;Romaradio IAR;I;SEu;pa;1;;
1855;0000-2400;;I;Romaradio IAR;I;SEu;b;1;;
1876;0000-2400;;I;Romaradio IAR;I;SEu;lm;1;;
1883;0210-0225;;G;Belfast Coast Guard;E;WEu;ty;1;;
1883;0810-0825;;G;Belfast Coast Guard;E;WEu;ty;1;;
1883;1410-1425;;G;Belfast Coast Guard;E;WEu;ty;1;;
1883;2010-2025;;G;Belfast Coast Guard;E;WEu;ty;1;;
1883;2010-2020;;ISL;Iceland Coast Guard;IS;NAO;f;1;;
1888;0000-2400;;I;Romaradio IAR;I;SEu;cv;1;;[0717]
1911;0850-0900;;ALG;Annaba Radio;F,E;NAf;an;1;;
1911;1850-1900;;ALG;Annaba Radio;F,E;NAf;an;1;;
1911;0000-0015;;MRC;Agadir Radio;F;MRC;ag;1;;
1911;0935-0950;;MRC;Agadir Radio;F;MRC;ag;1;;
1911;1048-1103;;MRC;Agadir Radio;F;MRC;ag;1;;
1911;1615-1643;;MRC;Agadir Radio;F;MRC;ag;1;;
1925;0000-2400;;I;Romaradio IAR;I;SEu;li;1;;[0717]
1980;0000-2400;;NOR;IAP Andenes Radar 27us;;NEu;a;1;;
2054;0340-0610;;ALS;NOJ Fax Kodiak;;WNA;k;1;;
2054;0950-1210;;ALS;NOJ Fax Kodiak;;WNA;k;1;;
